company_id
ABB
ADANIENSOL
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
AMBUJACEM
APOLLOHOSP
ASIANPAINT
ATGL
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BANKBARODA
BEL
BHARTIARTL
BHEL
BOSCHLTD
BPCL
BRITANNIA
CANBK
CHOLAFIN
CIPLA
COALINDIA
DABUR
DLF
DMART
DRREDDY
EICHERMOT
GAIL
GODREJCP
GRASIM
HAL
HAVELLS
HCLTECH
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDUNILVR
ICICIBANK
ICICIGI
ICICIPRULI
INDIGO
INDUSINDBK
INFY
IOC
IRCTC
IRFC
ITC
JINDALSTEL
JIOFIN
JSWENERGY
JSWSTEEL
KOTAKBANK
LICI
LODHA
LT
LTIM
M&M
MARUTI
MOTHERSON
NAUKRI
NESTLEIND
NHPC
NTPC
ONGC
PFC
PIDILITIND
PNB
POWERGRID
RECLTD
RELIANCE
SBILIFE
SBIN
SHREECEM
SHRIRAMFIN
SIEMENS
SUNPHARMA
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TRENT
TVSMOTOR
ULTRACEMCO
UNIONBANK
UNITDSPR
VBL
VEDL
WIPRO
ZOMATO
ZYDUSLIFE
